round,value,daily_double,category,comments,answer,question,air_date,notes,Difficulty
1,100,no,MAMMALS,-,"It's said these furry rodents were named for the Chincha Indians, who used to eat them",chinchillas,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,MAMMALS,-,"Because of man, the zebra-like quagga & stellar's sea cow are both this",extinct,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,300,no,MAMMALS,-,"Most mammals are homoiothermic, which means this is constant year-round",body temperature,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,400,no,MAMMALS,-,Monotremes are the only mammals which give birth this way,laying eggs,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,500,no,MAMMALS,-,All mammals of the order pinnipedia have this kind of feet,flippers (webbed feet),5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,ANCIENT ROME,-,"He had affairs with Cassius' wife & Brutus' mother, giving the guys good reason to stab him",Julius Caesar,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,ANCIENT ROME,-,"What the Roman elite did with dormice, ostrich wings & flamingo tongues",ate them,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,300,no,ANCIENT ROME,-,"Roman historians usually wrote in this language until Cato the Elder wrote ""Origines"" in Latin",Greek,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,400,no,ANCIENT ROME,-,"Among these, a sector was a light-armored version of the heavily armored Samnite",gladiators,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,500,yes,ANCIENT ROME,-,"On the earliest known Roman calendar, these were the 7th, 8th, 9th & 10th months","September, October, November, & December",5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,FINE CHINA,-,"First made in the 17th century, this country's Imari ware includes blue & white sake bottles",Japan,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,FINE CHINA,-,"The controversial china Nancy Reagan ordered is bordered in this, her favorite color",red,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,300,no,FINE CHINA,-,"\""Queen's ware"" was named for the wife of this last king of the American colonies",George III,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,400,no,FINE CHINA,-,Firm famed for its pale blue jasperware adorned with while classical figures,Wedgwood,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,500,no,FINE CHINA,-,The 1st European soft-paste porcelain was made by a member of this famous family of Florence,Medicis,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,LUNCH COUNTER LINGO,-,"You don't hit someone with this ""lead pipe""; you eat it with meatballs",spaghetti,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,LUNCH COUNTER LINGO,-,"\""Sneeze"", shaken in soups & salads",pepper,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,300,no,LUNCH COUNTER LINGO,-,"To order liver cooked with these, a waitress yells, ""Put out the lights & cry!\""",onions,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,400,no,LUNCH COUNTER LINGO,-,"If you want this Irish immigrant entree, scream ""red horse, put a wreath on it!\""",corned beef & cabbage,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,500,no,LUNCH COUNTER LINGO,-,"If you ""brand bossy"", you're doing this",frying a hamburger,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,RELIGION,-,The Digambara monks of India believe that salvation is not possible for this sex,women,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,RELIGION,-,"The Phoenicians used to sacrifice these to the god Moloch, definitely not according to Spock",children,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,300,no,RELIGION,-,"In 1934, at the age of 79, Evangeline Booth became the 1st woman general in this religious ""corps\""",Salvation Army,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,400,no,RELIGION,-,"In a traditional Jewish wedding, the couple is married under 1 of these, symbolic of the bridal chamber",chuppah (canopy),5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,500,no,RELIGION,-,"Name of this religion founded in the 7th c. can be translated as ""submission"", ""surrender"" or ""commitment\""",Islam,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,100,no,NOISEMAKERS,-,The hollow cone through which cheerleaders scream at you,megaphone,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
1,200,no,NOISEMAKERS,-,"Dancers' rhythm instruments whose name derives from Spanish word for chestnut, ""castana\""",catanets,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,NAUTICAL HISTORY,-,This country now has the largest submarine fleet in the world,USSR,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,NAUTICAL HISTORY,-,Elizabeth I knighted him upon his Golden Hind,Sir Francis Drake,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,600,yes,NAUTICAL HISTORY,-,Docked in New England it's called the oldest commissioned ship afloat in any of the world's navies,U.S.S. Constitution (Old Ironsides),5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,800,no,NAUTICAL HISTORY,-,"Among former names of this service was ""The Revenue Marines\""",Coast Guard,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,1000,no,NAUTICAL HISTORY,-,"In the 1770s, to help prevent scurvy, he served sauerkraut aboard his ship, the Endeavor",Captain Cook,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,200,no,WASHINGTON D.C.,-,It was established from the fortune left our gov't in 1829 by British scientist James Smithson,Smithsonian Institute,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,400,no,WASHINGTON D.C.,-,"By a rules committee decision, this has been served in the Senate restaurant every day since 1907",navy bean soup,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,600,no,WASHINGTON D.C.,-,"Tho much larger, this was built in the exact proportions of Ancient Egyptian obelisks",Washington Monument,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
2,800,no,WASHINGTON D.C.,-,Washington is divided into 4 unequal quadrants with this building at its center,Capitol Building,5/11/1987,1987 Senior Tournament quarterfinal game 1.,Medium
