round,value,daily_double,category,comments,answer,question,air_date,notes,Difficulty
1,100,no,POLAND,-,"After WWII, over 80% of the buildings in this capital were uninhabitable",Warsaw,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,200,no,POLAND,-,"Thaddeus Kosciuszko, a general in this North American war, tried to unite Poland in 1794, but failed",Revolutionary War,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,300,no,POLAND,-,"Of 1 out of 5, 1 out of 15, or 1 out of 50, approximate ratio of Polish families who own cars",1 out of 50,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,400,no,POLAND,-,Poland is among the world's largest producer of this fuel,coal,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,500,no,POLAND,-,"After 1572, the Poles used this method to select a king",election,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,100,no,A.K.A.,-,â€œSeasonâ€ed disco queen born LaDonna Gaines,Donna Summer,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,200,no,A.K.A.,-,Ernest Evansâ€™ â€œtwistâ€ed name,Chubby Checker,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,300,no,A.K.A.,-,"If you don't believe she was born Shirley Beaty, ask her little brother Warren",Shirley MacLaine,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,400,no,A.K.A.,-,"Honest, Wyatt, his name was originally Hugh Krampe",Hugh O'Brian,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,500,no,A.K.A.,-,"Actor David Meyer changed his name to this before he started playing â€œRichard Diamond, Priv. Det.â€",David Janssen,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,100,no,Â€ŒNORTHÂ€,-,Farms & ranches cover 90% of this border state's land,North Dakota,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,200,no,Â€ŒNORTHÂ€,-,"Thoâ€™ Catholicism is this English province's largest single denomination, it's a â€œpersecuted minorityâ€",Northern Ireland,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,300,no,Â€ŒNORTHÂ€,-,"1st to sail it, Roald Amundsen found this â€œshortcutâ€ a difficult 3-year trip",Northwest Passage,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,400,no,Â€ŒNORTHÂ€,-,"Begun in 1948, this university's African studies program was 1st of its kind in U.S.",Northwestern,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
1,500,no,Â€ŒNORTHÂ€,-,The founder of this aircraft company also helped form its competitor Lockheed,Northrop,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,200,no,19TH CENTURY NOVELS,-,"Of all his books, he said â€œDavid Copperfieldâ€ was his â€œfavourite childâ€",Charles Dickens,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,400,no,19TH CENTURY NOVELS,-,The â€œofficialâ€ title of â€œAlice In Wonderlandâ€,Alice's Adventures In Wonderland,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,600,no,19TH CENTURY NOVELS,-,Henry James novel whose New York setting is its title,Washington Square,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,800,no,19TH CENTURY NOVELS,-,"For over 50 years, one of these was â€œThe Man Without A Country'sâ€ home",ship,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,1000,yes,19TH CENTURY NOVELS,-,Captain Nemo â€œdiesâ€ in both these Jules Verne novels,Twenty Thousand Leagues Under the Sea & The Mysterious Island,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,200,no,SPORTS BIRDS,-,"In golf, this bird in the hand is worth 2 under par",eagle,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
2,400,no,SPORTS BIRDS,-,"Since Pittsburgh's baseball team is the Pirates, their mascot dresses up as this",parrot,11/11/1985,1985 Tournament of Champions quarterfinal game 1.,Expert
